معرف الوحدة,اسم الوحدة,رئيس الوحدة,مسمى وظيفي رئيس الوحدة,بريد رئيس الوحدة,نشط
المكتبة الرئيسية,المكتبة الرئيسية,الدكتور حمد بن محمد بن سالم العزري,مدير المكتبة الرئيسية,,نعم
إدارة المراكز البحثيه,إدارة المراكز البحثيه,,,,نعم
دائرة الاستثمار والدخل,دائرة الاستثمار والدخل,,,,نعم
دائرة الإسكان,دائرة الإسكان,الفاضل محمد بن علي بن حمد النحوي,مدير دائرة الإسكان,,نعم
دائرة التخطيط والإحصاء,دائرة التخطيط والإحصاء,الفاضل مازن بن حامد بن سيف السليماني,مدير دائرة التخطيط والإحصاء,,نعم
دائرة التدقيق الداخلي,دائرة التدقيق الداخلي,الفاضل خالد بن مبارك بن سعيد الصلتي,مدير دائرة التدقيق الداخلي,,نعم
دائرة التنسيق والمتابعة,دائرة التنسيق والمتابعة,الفاضل محمد بن سيف بن محمد السلامي,مدير دائرة التنسيق والمتابعة,,نعم
دائرة التواصل والإعلام,دائرة التواصل والإعلام,الفاضلة جوخه بنت علي بن ماجد المعمرية,مدير دائرة التواصل والإعلام,,نعم
دائرة الخدمات الفنية,دائرة الخدمات الفنية,المهندسة نسيبه بنت علي بن عبدالله العزرية,مدير دائرة الخدمات الفنية,,نعم
دائرة الشؤون الإدارية,دائرة الشؤون الإدارية,الفاضل محمد بن رمضان بن محمد البلوشي,مدير الشؤون الإدارية,,نعم
دائرة الشؤون القانونية,دائرة الشؤون القانونية,,,,نعم
دائرة الشؤون المالية,دائرة الشؤون المالية,الدكتور وضاح بن زاهر بن سالم السيباني,مدير الشؤون الماليه,,نعم
دائرة العلاقات العامة بالجامعة,دائرة العلاقات العامة بالجامعة,الفاضل أنور بن زايد بن محمد الهنائي,مدير دائرة العلاقات العامة بالجامعة,,نعم
دائرة المخازن العامة,دائرة المخازن العامة,الفاضل محمد بن عبدالله بن محمد الشعيلي,مدير دائرة المخازن العامة,,نعم
دائرة المشاريع والصيانه,دائرة المشاريع والصيانه,المهندس عبدالله بن خلفان بن محمد المحروقي,مدير دائرة المشاريع والصيانه,,نعم
دائرة المشتريات,دائرة المشتريات,,,,نعم
دائرة الموارد البشرية,دائرة الموارد البشرية,الفاضل صالح بن خليفه بن خميس الهنائي,مدير الموارد البشرية,,نعم
دائرة النقليات,دائرة النقليات,الفاضل سيف بن خلفان بن حمود الوهيبي,مدير دائرة النقليات,,نعم
دائرة الوثائق,دائرة الوثائق,الفاضل عبدالله بن ناصر بن عبدالله الشيادي,مدير دائرة الوثائق,,نعم
دائرة خدمات المراجعين,دائرة خدمات المراجعين,الفاضل خليفه بن زايد بن ناصر المحرمي,مدير دائرة خدمات المراجعين,,نعم
دائرة شؤون قاعات المؤتمرات والفعاليات,دائرة شؤون قاعات المؤتمرات والفعاليات,الفاضل محمد بن عامر بن حبيب البطراني,مدير شؤون قاعات المؤتمرات والفعاليات,,نعم
عمادة البحث العلمي,عمادة البحث العلمي,الدكتور غازي بن علي بن عبدالله الرواس,عميد البحث العلمي,,نعم
عمادة الدراسات العليا,عمادة الدراسات العليا,الدكتور سليمان بن داود بن سليمان السابعي,عميد الدراسات العليا,,نعم
عمادة القبول والتسجيل,عمادة القبول والتسجيل,الدكتورة أسماء بنت ناصر بن محمد الزيدية,عميد القبول و التسجيل,,نعم
عمادة شؤون الطلبة,عمادة شؤون الطلبة,الدكتورة ريا بنت سالم بن سعيد المنذرية,عميد شؤون الطلبة,,نعم
كلية الاقتصاد والعلوم السياسية,كلية الاقتصاد والعلوم السياسية,الدكتور سعيد بن محمد بن مرهون الريامي,عميد كلية الاقتصاد والعلوم السياسية,,نعم
كلية الآداب والعلوم الإجتماعية,كلية الآداب والعلوم الإجتماعية,المكرم الأستاذ الدكتور محمد بن ناصر بن علي الصقري,عميد كلية الآداب والعلوم الإجتماعية,,نعم
كلية التربية,كلية التربية,الأستاذة الدكتورة يسرى بنت جمعه بن سعيد السنانية,عميد كلية التربية,,نعم
كلية التمريض,كلية التمريض,الدكتور هدى بنت سالم بن يعقوب النعمانية,عميد كلية التمريض,,نعم
كلية الحقوق,كلية الحقوق,الدكتور صالح بن حمد بن محمد البراشدي,عميد كلية الحقوق,,نعم
كلية الطب والعلوم الصحية,كلية الطب والعلوم الصحية,الأستاذ الدكتور راشد بن خلفان بن سالم العبري,عميد كلية الطب والعلوم الصحية,,نعم
كلية العلوم,كلية العلوم,الدكتور طلال بن خليفه بن سعيد الحوسني,عميد كلية العلوم,,نعم
كلية العلوم الزراعية والبحرية,كلية العلوم الزراعية والبحرية,الأستاذ الدكتور راشد بن عبدالله بن مسعود اليحيائي,عميد كلية العلوم الزراعية والبحرية,,نعم
كلية الهندسة,كلية الهندسة,الأستاذ الدكتور محمد بن زاهر بن محمد العبري,عميد كلية الهندسة,,نعم
م.ن.الرئيس للشؤون الاكاديميةوخدمةالمجتمع,م.ن.الرئيس للشؤون الاكاديميةوخدمةالمجتمع,الفاضلة يسرى بنت محمد بن سعيد العوفية,مدير مكتب نائب الرئيس للشؤون الاكاديمية,,نعم
مركز الابتكار ونقل التكنولوجيا,مركز الابتكار ونقل التكنولوجيا,الدكتور عادل بن سعيد بن علي البوسعيدي,مدير مركز الابتكار ونقل التكنولوجيا,,نعم
مركز الاستشعار عن بعد ونظم المعلومات الجغرافية,مركز الاستشعار عن بعد ونظم المعلومات الجغرافية,,,,نعم
مركز الإرشاد الطلابي,مركز الإرشاد الطلابي,,,,نعم
مركز البحوث الإنسانيه,مركز البحوث الإنسانيه,الأستاذ الدكتور ماجد بن سعيد بن محمد البوصافي,مدير مركز البحوث الإنسانية,,نعم
مركز التعلّم الذاتي,مركز التعلّم الذاتي,الدكتور حمود بن سالم بن  حمود الشعيبي,مدير مركز التعلم الذاتي,,نعم
مركز التميز في التقنية الحيوية البحرية,مركز التميز في التقنية الحيوية البحرية,الدكتور سيفاكومار نالوسامي,مدير مركز تميز التقنية الحيوية البحرية,,نعم
مركز التوجيه الوظيفي,مركز التوجيه الوظيفي,الفاضل سالم بن راشد بن سيف السعيدي,مدير مركز التوجيه الوظيفي,,نعم
مركز الدراسات التحضيرية,مركز الدراسات التحضيرية,الدكتورة زهراء بنت علي بن عبدالخالق اللواتية,مدير مركز الدراسات التحضيرية,,نعم
مركز الدراسات العُمانية,مركز الدراسات العُمانية,الأستاذ الدكتور سيف بن ناصر بن علي المعمري,مدير مركز الدراسات العُمانية,,نعم
مركز الدراسات والبحوث البيئية,مركز الدراسات والبحوث البيئية,الدكتور مالك بن محمد بن حسن الوردي,مدير مركز الدراسات والبحوث البيئية,,نعم
مركز أبحاث الإتصالات والمعلومات,مركز أبحاث الإتصالات والمعلومات,الدكتور محمد بن مانع بن رجب بيت سويلم,مدير مركز أبحاث الإتصالات والمعلومات,,نعم
مركز أبحاث الطاقة المستدامة,مركز أبحاث الطاقة المستدامة,الدكتور صالح بن ناصر بن جمعه الساعدي,مدير مركز أبحاث الطاقة المستدامة,,نعم
مركز أبحاث المياه,مركز أبحاث المياه,الدكتور علي بن خميس بن سليمان المكتومي,مدير مركز أبحاث المياه,,نعم
مركز أبحاث النفط والغاز,مركز أبحاث النفط والغاز,الدكتور فاروق بن خلفان بن سيف الجهوري,مدير مركز أبحاث النفط والغاز,,نعم
مركز أبحاث تقنية النانو,مركز أبحاث تقنية النانو,,,,نعم
مركز أبحاث علوم الأرض,مركز أبحاث علوم الأرض,الأستاذ الدكتور صبحي  جابر  يوسف نصر,مدير مركز أبحاث علوم الأرض,,نعم
مركز تقنيات التعليم,مركز تقنيات التعليم,الفاضل سالم بن جابر بن محمد الوائلي,مدير مركز تقنيات التعليم,,نعم
مركز تنمية الموارد البشرية,مركز تنمية الموارد البشرية,,,,نعم
مركز خدمة المجتمع والتعليم المستمر,مركز خدمة المجتمع والتعليم المستمر,الدكتورة مريم بنت محمد بن حمود الحراصية,مدير مركز خدمة المجتمع والتعليم المستمر,,نعم
مركز رصد الزلازل,مركز رصد الزلازل,الدكتور عيسى الحسين,مدير مركز رصد الزلازل,,نعم
مركز نظم المعلومات,مركز نظم المعلومات,المهندس عبدالرحيم بن سيف بن محمد العبري,مدير مركز نظم المعلومات,,نعم
مطبعة الجامعة,مطبعة الجامعة,الفاضل جمال بن خالد بن محمد الغيلاني,مدير مطبعة الجامعة,,نعم
مكتب التعاون الدولي,مكتب التعاون الدولي,الفاضل محمود بن عبدالله بن أحمد الكندي,مدير مكتب التعاون الدولي,,نعم
مكتب الرئيس,مكتب الرئيس,الدكتور عمر بن سعيد بن عوض العبري,مدير مكتب رئيس الجامعة,,نعم
مكتب إدارة المخاطر,مكتب إدارة المخاطر,الدكتورة أصيله بنت ناصر بن سعيد الحارثية,مدير مكتب إدارة المخاطر,,نعم
مكتب أمن الجامعة,مكتب أمن الجامعة,المهندس سامي بن يوسف بن خلفان البوسعيدي,مدير مكتب أمن الجامعة,,نعم
مكتب شؤون المجالس واللجان,مكتب شؤون المجالس واللجان,الفاضل علي بن ناصر بن ساعد الحضرمي,مدير مكتب شؤون المجالس واللجان,,نعم
مكتب ضمان الجودة,مكتب ضمان الجودة,الأستاذ الدكتور سليمان بن محمد بن سليمان البلوشي,مدير مكتب ضمان الجودة,,نعم
مكتب متابعة تنفيذ رؤية عمان 2040,مكتب متابعة تنفيذ رؤية عمان 2040,الفاضل فهد بن أحمد بن سالم الوضاحي,مدير مكتب متابعة تنفيذ رؤية عمان 2040,,نعم
مكتب نائب الرئيس للدراسات العليا والبحث العلمي,مكتب نائب الرئيس للدراسات العليا والبحث العلمي,الفاضل عادل بن سعود بن حمد المحروقي,مدير مكتب نائب الرئيس للدراسات العليا والبحث العلمي,,نعم
مكتب نائب الرئيس للشؤون الاداريةوالمالية,مكتب نائب الرئيس للشؤون الاداريةوالمالية,الفاضلة وفاء بنت خميس بن محمد العدوية,مدير مكتب نائب رئيس الجامعة للشؤون الإدارية والمالية,,نعم
مركز التميّز في التعليم والتعلّم,مركز التميّز في التعليم والتعلّم,الدكتورة أسماء بنت سعيد بن أحمد الغسانية,مدير مركز التميّز في التعليم والتعلّم,,نعم
مركز البحوث الطبية,مركز البحوث الطبية,الدكتور سعيد بن أحمد بن سالم البوصافي,مدير مركز البحوث الطبية,,نعم
